Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.29,20.00,500.00,37.61
2,13.26,20.00,500.00,37.72
3,13.26,20.00,500.00,37.71
4,13.26,20.00,500.00,37.72
5,13.26,20.00,500.00,37.72
6,13.25,20.00,500.00,37.72
7,13.25,20.00,500.00,37.73
8,13.25,20.00,500.00,37.73
9,13.25,20.00,500.00,37.73
10,13.26,20.00,500.00,37.72
11,13.25,20.00,500.00,37.73
12,13.25,20.00,500.00,37.72
13,13.25,20.00,500.00,37.73
14,13.25,20.00,500.00,37.74
15,13.25,20.00,500.00,37.75
16,13.24,20.00,500.00,37.76
