Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,4.77,20.00,500.00,104.83
2,4.80,20.00,500.00,104.14
3,4.84,20.00,500.00,103.28
4,4.78,20.00,500.00,104.56
5,4.81,20.00,500.00,103.88
6,4.85,20.00,500.00,103.09
8,4.83,20.00,500.00,103.58
7,4.89,20.00,500.00,102.22
9,4.86,20.00,500.00,102.86
10,4.90,20.00,500.00,102.06
11,4.84,20.00,500.00,103.33
12,4.87,20.00,500.00,102.69
13,4.91,20.00,500.00,101.87
14,4.85,20.00,500.00,103.11
15,4.88,20.00,500.00,102.52
16,4.91,20.00,500.00,101.83
17,4.95,20.00,500.00,101.06
18,4.89,20.00,500.00,102.28
20,4.86,20.00,500.00,102.91
19,4.92,20.00,500.00,101.57
21,4.89,20.00,500.00,102.27
23,4.87,20.00,500.00,102.76
22,4.93,20.00,500.00,101.44
24,4.89,20.00,500.00,102.18
25,4.93,20.00,500.00,101.45
26,4.87,20.00,500.00,102.71
27,4.89,20.00,500.00,102.16
29,4.87,20.00,500.00,102.73
28,4.93,20.00,500.00,101.40
30,4.89,20.00,500.00,102.19
32,4.87,20.00,500.00,102.77
31,4.93,20.00,500.00,101.45
33,4.89,20.00,500.00,102.22
35,4.86,20.00,500.00,102.81
34,4.93,20.00,500.00,101.46
36,4.89,20.00,500.00,102.29
37,4.92,20.00,500.00,101.70
38,4.86,20.00,500.00,102.95
39,4.88,20.00,500.00,102.49
40,4.91,20.00,500.00,101.94
41,4.85,20.00,500.00,103.19
42,4.86,20.00,500.00,102.81
43,4.89,20.00,500.00,102.26
44,4.83,20.00,500.00,103.53
46,4.79,20.00,500.00,104.39
45,4.85,20.00,500.00,103.02
47,4.81,20.00,500.00,104.00
48,4.83,20.00,500.00,103.46
49,4.77,20.00,500.00,104.77
50,4.79,20.00,500.00,104.40
51,4.81,20.00,500.00,103.85
52,4.76,20.00,500.00,105.15
53,4.77,20.00,500.00,104.83
55,4.73,20.00,500.00,105.65
54,4.80,20.00,500.00,104.26
56,4.75,20.00,500.00,105.21
57,4.69,20.00,500.00,106.54
58,4.71,20.00,500.00,106.22
60,4.67,20.00,500.00,107.07
59,4.73,20.00,500.00,105.64
61,4.69,20.00,500.00,106.67
62,4.63,20.00,500.00,108.06
63,4.64,20.00,500.00,107.77
64,4.65,20.00,500.00,107.61
