Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
2,16.63,20.00,500.00,30.07
1,16.69,20.00,500.00,29.95
7,16.67,20.00,500.00,30.00
6,16.73,20.00,500.00,29.88
3,16.92,20.00,500.00,29.55
5,16.80,20.00,500.00,29.77
4,16.86,20.00,500.00,29.66
11,16.76,20.00,500.00,29.83
9,16.89,20.00,500.00,29.61
10,16.83,20.00,500.00,29.71
8,16.95,20.00,500.00,29.49
12,16.71,20.00,500.00,29.93
14,16.91,20.00,500.00,29.56
13,16.98,20.00,500.00,29.45
15,16.85,20.00,500.00,29.67
16,16.79,20.00,500.00,29.77
17,16.73,20.00,500.00,29.88
19,16.94,20.00,500.00,29.52
20,16.88,20.00,500.00,29.63
22,16.76,20.00,500.00,29.84
23,16.70,20.00,500.00,29.95
21,16.82,20.00,500.00,29.73
18,17.01,20.00,500.00,29.40
25,16.89,20.00,500.00,29.61
27,16.77,20.00,500.00,29.82
24,16.95,20.00,500.00,29.49
28,16.71,20.00,500.00,29.92
26,16.84,20.00,500.00,29.70
32,16.78,20.00,500.00,29.80
29,16.97,20.00,500.00,29.47
33,16.72,20.00,500.00,29.90
31,16.85,20.00,500.00,29.68
30,16.91,20.00,500.00,29.57
34,16.97,20.00,500.00,29.46
37,16.79,20.00,500.00,29.78
35,16.91,20.00,500.00,29.56
38,16.73,20.00,500.00,29.88
39,16.67,20.00,500.00,29.99
36,16.86,20.00,500.00,29.66
44,16.66,20.00,500.00,30.00
45,16.61,20.00,500.00,30.11
43,16.73,20.00,500.00,29.89
42,16.79,20.00,500.00,29.77
41,16.86,20.00,500.00,29.66
40,16.92,20.00,500.00,29.55
50,16.59,20.00,500.00,30.14
48,16.72,20.00,500.00,29.91
46,16.84,20.00,500.00,29.69
47,16.79,20.00,500.00,29.79
51,16.54,20.00,500.00,30.23
49,16.66,20.00,500.00,30.00
56,16.52,20.00,500.00,30.27
57,16.46,20.00,500.00,30.38
55,16.58,20.00,500.00,30.15
52,16.77,20.00,500.00,29.82
53,16.71,20.00,500.00,29.92
54,16.65,20.00,500.00,30.03
63,16.37,20.00,500.00,30.55
61,16.49,20.00,500.00,30.31
59,16.62,20.00,500.00,30.09
62,16.44,20.00,500.00,30.42
58,16.68,20.00,500.00,29.97
60,16.56,20.00,500.00,30.19
64,16.53,20.00,500.00,30.25
