Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,22.79,20.00,500.00,21.94
2,22.76,20.00,500.00,21.97
3,22.76,20.00,500.00,21.97
4,22.76,20.00,500.00,21.97
5,22.75,20.00,500.00,21.97
6,22.75,20.00,500.00,21.98
7,22.75,20.00,500.00,21.98
8,22.73,20.00,500.00,21.99
9,22.73,20.00,500.00,21.99
10,22.74,20.00,500.00,21.99
11,22.74,20.00,500.00,21.99
12,22.74,20.00,500.00,21.99
13,22.74,20.00,500.00,21.99
14,22.75,20.00,500.00,21.98
15,22.74,20.00,500.00,21.99
16,22.74,20.00,500.00,21.99
