Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.62,20.00,500.00,75.57
3,6.62,20.00,500.00,75.49
2,6.69,20.00,500.00,74.77
4,6.70,20.00,500.00,74.68
5,6.64,20.00,500.00,75.35
7,6.65,20.00,500.00,75.24
6,6.71,20.00,500.00,74.52
9,6.65,20.00,500.00,75.14
8,6.72,20.00,500.00,74.43
11,6.66,20.00,500.00,75.03
10,6.73,20.00,500.00,74.32
13,6.67,20.00,500.00,74.93
12,6.74,20.00,500.00,74.23
15,6.68,20.00,500.00,74.82
14,6.75,20.00,500.00,74.11
16,6.75,20.00,500.00,74.05
17,6.69,20.00,500.00,74.71
19,6.70,20.00,500.00,74.64
18,6.76,20.00,500.00,73.95
20,6.77,20.00,500.00,73.90
21,6.71,20.00,500.00,74.56
23,6.71,20.00,500.00,74.52
22,6.77,20.00,500.00,73.82
24,6.78,20.00,500.00,73.75
25,6.72,20.00,500.00,74.39
26,6.66,20.00,500.00,75.07
28,6.66,20.00,500.00,75.11
27,6.72,20.00,500.00,74.39
30,6.66,20.00,500.00,75.07
29,6.72,20.00,500.00,74.35
32,6.66,20.00,500.00,75.04
31,6.73,20.00,500.00,74.33
33,6.73,20.00,500.00,74.24
35,6.62,20.00,500.00,75.59
34,6.68,20.00,500.00,74.87
37,6.61,20.00,500.00,75.59
36,6.68,20.00,500.00,74.88
38,6.68,20.00,500.00,74.83
39,6.62,20.00,500.00,75.50
40,6.68,20.00,500.00,74.82
41,6.62,20.00,500.00,75.49
43,6.62,20.00,500.00,75.50
42,6.69,20.00,500.00,74.77
45,6.63,20.00,500.00,75.46
44,6.69,20.00,500.00,74.74
46,6.57,20.00,500.00,76.12
48,6.56,20.00,500.00,76.22
47,6.62,20.00,500.00,75.49
50,6.55,20.00,500.00,76.30
49,6.62,20.00,500.00,75.56
52,6.55,20.00,500.00,76.37
51,6.61,20.00,500.00,75.64
53,6.60,20.00,500.00,75.74
54,6.54,20.00,500.00,76.44
56,6.54,20.00,500.00,76.49
55,6.60,20.00,500.00,75.74
57,6.48,20.00,500.00,77.16
59,6.46,20.00,500.00,77.35
58,6.53,20.00,500.00,76.59
60,6.52,20.00,500.00,76.74
61,6.46,20.00,500.00,77.45
62,6.50,20.00,500.00,76.87
63,6.45,20.00,500.00,77.57
64,6.48,20.00,500.00,77.20
