Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,5.50,20.00,500.00,90.99
2,5.45,20.00,500.00,91.76
3,5.45,20.00,500.00,91.73
4,5.45,20.00,500.00,91.75
5,5.46,20.00,500.00,91.66
6,5.45,20.00,500.00,91.78
7,5.45,20.00,500.00,91.77
8,5.45,20.00,500.00,91.72
9,5.45,20.00,500.00,91.74
10,5.45,20.00,500.00,91.68
11,5.45,20.00,500.00,91.67
12,5.46,20.00,500.00,91.64
13,5.45,20.00,500.00,91.71
14,5.45,20.00,500.00,91.73
15,5.45,20.00,500.00,91.76
16,5.44,20.00,500.00,91.88
