Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,16.36,20.00,500.00,30.56
2,16.64,20.00,500.00,30.05
3,16.58,20.00,500.00,30.16
4,16.52,20.00,500.00,30.27
6,16.40,20.00,500.00,30.49
5,16.46,20.00,500.00,30.38
8,16.61,20.00,500.00,30.11
7,16.67,20.00,500.00,29.99
9,16.55,20.00,500.00,30.21
11,16.43,20.00,500.00,30.44
10,16.49,20.00,500.00,30.32
13,16.63,20.00,500.00,30.07
12,16.69,20.00,500.00,29.96
15,16.51,20.00,500.00,30.29
16,16.45,20.00,500.00,30.40
14,16.57,20.00,500.00,30.17
20,16.52,20.00,500.00,30.27
21,16.46,20.00,500.00,30.38
17,16.71,20.00,500.00,29.93
18,16.65,20.00,500.00,30.03
19,16.59,20.00,500.00,30.14
23,16.65,20.00,500.00,30.02
22,16.72,20.00,500.00,29.90
25,16.54,20.00,500.00,30.23
24,16.60,20.00,500.00,30.12
26,16.48,20.00,500.00,30.34
31,16.48,20.00,500.00,30.34
30,16.55,20.00,500.00,30.22
29,16.61,20.00,500.00,30.10
28,16.67,20.00,500.00,29.99
32,16.43,20.00,500.00,30.44
27,16.74,20.00,500.00,29.87
34,16.61,20.00,500.00,30.11
37,16.42,20.00,500.00,30.45
33,16.67,20.00,500.00,30.00
35,16.55,20.00,500.00,30.22
36,16.49,20.00,500.00,30.33
38,16.66,20.00,500.00,30.01
43,16.36,20.00,500.00,30.56
40,16.55,20.00,500.00,30.22
41,16.49,20.00,500.00,30.33
42,16.43,20.00,500.00,30.44
39,16.61,20.00,500.00,30.10
47,16.41,20.00,500.00,30.48
44,16.60,20.00,500.00,30.13
48,16.35,20.00,500.00,30.58
45,16.54,20.00,500.00,30.24
46,16.48,20.00,500.00,30.35
49,16.29,20.00,500.00,30.69
50,16.51,20.00,500.00,30.28
53,16.33,20.00,500.00,30.62
51,16.46,20.00,500.00,30.38
52,16.40,20.00,500.00,30.49
54,16.28,20.00,500.00,30.72
55,16.22,20.00,500.00,30.83
56,16.44,20.00,500.00,30.42
57,16.38,20.00,500.00,30.53
61,16.13,20.00,500.00,30.99
58,16.32,20.00,500.00,30.63
59,16.26,20.00,500.00,30.75
60,16.20,20.00,500.00,30.86
64,16.18,20.00,500.00,30.90
62,16.31,20.00,500.00,30.66
63,16.25,20.00,500.00,30.78
