Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,16.39,20.00,500.00,30.51
2,16.33,20.00,500.00,30.63
7,16.36,20.00,500.00,30.57
4,16.54,20.00,500.00,30.22
5,16.48,20.00,500.00,30.33
3,16.61,20.00,500.00,30.11
6,16.43,20.00,500.00,30.44
12,16.38,20.00,500.00,30.52
9,16.57,20.00,500.00,30.17
10,16.51,20.00,500.00,30.28
8,16.64,20.00,500.00,30.05
11,16.45,20.00,500.00,30.39
13,16.65,20.00,500.00,30.03
16,16.47,20.00,500.00,30.36
14,16.60,20.00,500.00,30.13
15,16.53,20.00,500.00,30.24
17,16.41,20.00,500.00,30.47
18,16.67,20.00,500.00,30.00
21,16.48,20.00,500.00,30.33
20,16.55,20.00,500.00,30.21
22,16.43,20.00,500.00,30.44
19,16.61,20.00,500.00,30.10
27,16.43,20.00,500.00,30.42
23,16.68,20.00,500.00,29.97
25,16.56,20.00,500.00,30.19
26,16.50,20.00,500.00,30.30
24,16.63,20.00,500.00,30.07
33,16.39,20.00,500.00,30.52
30,16.57,20.00,500.00,30.17
29,16.63,20.00,500.00,30.06
32,16.45,20.00,500.00,30.40
28,16.70,20.00,500.00,29.95
31,16.51,20.00,500.00,30.28
37,16.44,20.00,500.00,30.41
35,16.57,20.00,500.00,30.18
36,16.51,20.00,500.00,30.29
38,16.39,20.00,500.00,30.51
34,16.64,20.00,500.00,30.06
42,16.44,20.00,500.00,30.41
40,16.57,20.00,500.00,30.18
44,16.32,20.00,500.00,30.63
39,16.63,20.00,500.00,30.06
43,16.39,20.00,500.00,30.51
41,16.51,20.00,500.00,30.28
45,16.55,20.00,500.00,30.22
48,16.36,20.00,500.00,30.55
46,16.49,20.00,500.00,30.32
49,16.31,20.00,500.00,30.66
47,16.43,20.00,500.00,30.43
52,16.41,20.00,500.00,30.47
53,16.35,20.00,500.00,30.58
50,16.54,20.00,500.00,30.23
55,16.23,20.00,500.00,30.80
51,16.48,20.00,500.00,30.34
54,16.29,20.00,500.00,30.68
61,16.14,20.00,500.00,30.97
59,16.27,20.00,500.00,30.74
60,16.21,20.00,500.00,30.85
58,16.33,20.00,500.00,30.61
56,16.46,20.00,500.00,30.38
57,16.40,20.00,500.00,30.49
62,16.32,20.00,500.00,30.64
64,16.20,20.00,500.00,30.87
63,16.26,20.00,500.00,30.75
