Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.14,20.00,500.00,38.04
2,13.13,20.00,500.00,38.09
3,13.11,20.00,500.00,38.13
4,13.12,20.00,500.00,38.11
5,13.12,20.00,500.00,38.12
6,13.12,20.00,500.00,38.12
7,13.11,20.00,500.00,38.14
8,13.12,20.00,500.00,38.12
9,13.12,20.00,500.00,38.11
10,13.12,20.00,500.00,38.11
11,13.12,20.00,500.00,38.12
12,13.11,20.00,500.00,38.14
13,13.10,20.00,500.00,38.16
14,13.10,20.00,500.00,38.17
15,13.10,20.00,500.00,38.17
16,13.10,20.00,500.00,38.18
