Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.12,20.00,500.00,38.10
2,13.10,20.00,500.00,38.16
3,13.10,20.00,500.00,38.17
4,13.10,20.00,500.00,38.17
5,13.10,20.00,500.00,38.16
6,13.10,20.00,500.00,38.17
7,13.09,20.00,500.00,38.18
8,13.10,20.00,500.00,38.17
9,13.09,20.00,500.00,38.19
10,13.10,20.00,500.00,38.17
11,13.10,20.00,500.00,38.17
12,13.09,20.00,500.00,38.18
13,13.09,20.00,500.00,38.20
14,13.09,20.00,500.00,38.20
15,13.05,20.00,500.00,38.32
16,13.05,20.00,500.00,38.31
