Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.63,45.00,500.00,75.45
3,6.63,45.00,500.00,75.37
2,6.70,45.00,500.00,74.65
5,6.65,45.00,500.00,75.23
4,6.71,45.00,500.00,74.52
6,6.72,45.00,500.00,74.40
7,6.66,45.00,500.00,75.07
8,6.73,45.00,500.00,74.28
9,6.67,45.00,500.00,74.95
11,6.68,45.00,500.00,74.84
10,6.74,45.00,500.00,74.13
12,6.75,45.00,500.00,74.06
13,6.69,45.00,500.00,74.72
15,6.70,45.00,500.00,74.64
14,6.76,45.00,500.00,73.94
17,6.71,45.00,500.00,74.56
16,6.77,45.00,500.00,73.87
18,6.78,45.00,500.00,73.79
19,6.72,45.00,500.00,74.44
21,6.72,45.00,500.00,74.40
20,6.78,45.00,500.00,73.70
22,6.79,45.00,500.00,73.65
23,6.73,45.00,500.00,74.30
25,6.73,45.00,500.00,74.25
24,6.80,45.00,500.00,73.55
26,6.68,45.00,500.00,74.88
27,6.74,45.00,500.00,74.24
28,6.68,45.00,500.00,74.89
30,6.68,45.00,500.00,74.90
29,6.74,45.00,500.00,74.20
32,6.68,45.00,500.00,74.88
31,6.74,45.00,500.00,74.17
34,6.69,45.00,500.00,74.74
33,6.75,45.00,500.00,74.04
35,6.63,45.00,500.00,75.41
37,6.63,45.00,500.00,75.43
36,6.69,45.00,500.00,74.71
39,6.63,45.00,500.00,75.36
38,6.70,45.00,500.00,74.64
41,6.64,45.00,500.00,75.32
40,6.70,45.00,500.00,74.60
42,6.70,45.00,500.00,74.64
43,6.64,45.00,500.00,75.30
45,6.64,45.00,500.00,75.29
44,6.70,45.00,500.00,74.58
46,6.58,45.00,500.00,75.95
48,6.58,45.00,500.00,76.03
47,6.64,45.00,500.00,75.31
50,6.57,45.00,500.00,76.09
49,6.63,45.00,500.00,75.36
51,6.63,45.00,500.00,75.47
52,6.57,45.00,500.00,76.16
53,6.62,45.00,500.00,75.56
54,6.56,45.00,500.00,76.24
56,6.55,45.00,500.00,76.30
55,6.62,45.00,500.00,75.58
57,6.49,45.00,500.00,77.00
59,6.48,45.00,500.00,77.14
58,6.54,45.00,500.00,76.40
60,6.53,45.00,500.00,76.54
61,6.47,45.00,500.00,77.24
63,6.46,45.00,500.00,77.40
62,6.52,45.00,500.00,76.65
64,6.50,45.00,500.00,76.98
