Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,5.51,45.00,500.00,90.74
2,5.46,45.00,500.00,91.51
3,5.46,45.00,500.00,91.55
4,5.46,45.00,500.00,91.57
5,5.46,45.00,500.00,91.52
6,5.46,45.00,500.00,91.54
7,5.46,45.00,500.00,91.56
8,5.46,45.00,500.00,91.57
9,5.46,45.00,500.00,91.56
10,5.46,45.00,500.00,91.55
11,5.46,45.00,500.00,91.58
12,5.46,45.00,500.00,91.51
13,5.46,45.00,500.00,91.57
14,5.46,45.00,500.00,91.58
15,5.46,45.00,500.00,91.61
16,5.46,45.00,500.00,91.55
