Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,0.65,51.00,66.00,101.09
2,0.63,51.00,66.00,105.48
3,0.60,51.00,64.00,105.83
4,0.56,51.00,59.00,105.54
5,0.64,51.00,68.00,105.72
6,0.65,51.00,68.00,105.38
7,0.60,51.00,64.00,105.95
8,0.60,51.00,64.00,106.02
9,0.54,51.00,57.00,105.53
10,0.63,51.00,66.00,105.52
11,0.62,51.00,66.00,105.73
12,0.63,51.00,66.00,105.57
13,0.64,51.00,68.00,105.81
14,0.58,51.00,61.00,105.66
15,0.62,51.00,65.00,105.60
16,0.56,51.00,59.00,105.60
