Request Number,Total Time Taken,Queue Time,Prompt Tokens,Tokens Generated,Tokens per Second
1,2.41,0.00,20.00,500.00,207.68
2,2.34,0.00,20.00,500.00,213.85
3,2.30,0.00,20.00,500.00,217.67
4,2.28,0.00,20.00,500.00,218.89
5,2.28,0.00,20.00,500.00,219.69
6,2.30,0.00,20.00,500.00,217.16
7,2.34,0.00,20.00,500.00,213.74
8,2.28,0.00,20.00,500.00,219.05
9,2.32,0.00,20.00,500.00,215.98
10,2.32,0.00,20.00,500.00,215.39
11,2.29,0.00,20.00,500.00,218.58
12,2.66,0.00,20.00,500.00,188.05
13,2.27,0.00,20.00,500.00,220.19
14,2.33,0.00,20.00,500.00,214.57
15,2.37,0.00,20.00,500.00,210.54
16,2.27,0.00,20.00,500.00,219.89
