Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,22.26,20.00,500.00,22.47
2,22.30,20.00,500.00,22.42
3,22.35,20.00,500.00,22.37
4,22.40,20.00,500.00,22.32
5,22.46,20.00,500.00,22.26
6,22.51,20.00,500.00,22.21
7,22.62,20.00,500.00,22.11
8,22.67,20.00,500.00,22.06
9,22.72,20.00,500.00,22.01
10,22.76,20.00,500.00,21.96
11,22.85,20.00,500.00,21.88
12,22.89,20.00,500.00,21.84
13,22.98,20.00,500.00,21.76
14,23.02,20.00,500.00,21.72
15,23.11,20.00,500.00,21.64
16,23.19,20.00,500.00,21.56
18,23.22,20.00,500.00,21.53
17,23.28,20.00,500.00,21.47
19,23.37,20.00,500.00,21.40
20,23.42,20.00,500.00,21.35
21,23.47,20.00,500.00,21.30
22,23.53,20.00,500.00,21.25
23,23.59,20.00,500.00,21.20
24,23.53,20.00,500.00,21.25
25,23.51,20.00,500.00,21.27
26,23.49,20.00,500.00,21.29
27,23.46,20.00,500.00,21.31
28,23.44,20.00,500.00,21.33
29,23.42,20.00,500.00,21.35
30,23.40,20.00,500.00,21.37
31,23.34,20.00,500.00,21.42
32,23.47,20.00,500.00,21.31
33,24.03,20.00,500.00,20.80
34,24.56,20.00,500.00,20.36
35,25.07,20.00,500.00,19.94
36,25.51,20.00,500.00,19.60
37,25.92,20.00,500.00,19.29
38,26.28,20.00,500.00,19.02
39,26.64,20.00,500.00,18.77
40,26.97,20.00,500.00,18.54
41,27.37,20.00,500.00,18.27
42,27.66,20.00,500.00,18.08
43,27.92,20.00,500.00,17.91
44,28.20,20.00,500.00,17.73
45,28.49,20.00,500.00,17.55
46,28.71,20.00,500.00,17.42
47,28.99,20.00,500.00,17.24
48,29.14,20.00,500.00,17.16
49,29.39,20.00,500.00,17.01
50,29.60,20.00,500.00,16.89
51,29.77,20.00,500.00,16.79
52,29.98,20.00,500.00,16.68
53,30.15,20.00,500.00,16.58
54,30.29,20.00,500.00,16.51
55,30.42,20.00,500.00,16.44
56,30.52,20.00,500.00,16.38
57,30.65,20.00,500.00,16.31
58,30.72,20.00,500.00,16.28
59,30.88,20.00,500.00,16.19
60,30.97,20.00,500.00,16.14
61,31.06,20.00,500.00,16.10
62,31.15,20.00,500.00,16.05
63,31.27,20.00,500.00,15.99
64,31.33,20.00,500.00,15.96
