Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,23.57,20.00,500.00,21.21
2,23.52,20.00,500.00,21.26
3,23.47,20.00,500.00,21.30
4,23.48,20.00,500.00,21.29
5,23.48,20.00,500.00,21.30
6,23.48,20.00,500.00,21.29
7,23.47,20.00,500.00,21.30
8,23.46,20.00,500.00,21.32
9,23.46,20.00,500.00,21.31
10,23.48,20.00,500.00,21.30
11,23.47,20.00,500.00,21.30
12,23.48,20.00,500.00,21.30
13,23.47,20.00,500.00,21.31
14,23.45,20.00,500.00,21.32
15,23.48,20.00,500.00,21.29
16,23.48,20.00,500.00,21.30
