Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.09,20.00,500.00,38.19
2,13.10,20.00,500.00,38.16
3,13.15,20.00,500.00,38.01
4,13.20,20.00,500.00,37.88
5,13.28,20.00,500.00,37.66
6,13.34,20.00,500.00,37.49
7,13.39,20.00,500.00,37.35
8,13.44,20.00,500.00,37.21
9,13.48,20.00,500.00,37.09
10,13.50,20.00,500.00,37.04
11,13.52,20.00,500.00,36.99
12,13.54,20.00,500.00,36.94
13,13.55,20.00,500.00,36.89
14,13.57,20.00,500.00,36.84
15,13.59,20.00,500.00,36.79
16,13.61,20.00,500.00,36.75
17,13.65,20.00,500.00,36.64
18,13.66,20.00,500.00,36.61
19,13.67,20.00,500.00,36.57
20,13.69,20.00,500.00,36.52
21,13.70,20.00,500.00,36.49
22,13.69,20.00,500.00,36.52
23,13.70,20.00,500.00,36.49
24,13.71,20.00,500.00,36.47
25,13.70,20.00,500.00,36.51
26,13.71,20.00,500.00,36.48
27,13.72,20.00,500.00,36.44
28,13.73,20.00,500.00,36.42
29,13.74,20.00,500.00,36.39
30,13.72,20.00,500.00,36.43
31,13.73,20.00,500.00,36.41
32,13.74,20.00,500.00,36.40
33,13.72,20.00,500.00,36.44
34,13.72,20.00,500.00,36.44
35,13.73,20.00,500.00,36.43
36,13.71,20.00,500.00,36.48
37,13.71,20.00,500.00,36.46
38,13.90,20.00,500.00,35.96
39,13.91,20.00,500.00,35.94
40,13.90,20.00,500.00,35.98
41,13.89,20.00,500.00,35.99
42,13.89,20.00,500.00,35.99
43,13.87,20.00,500.00,36.04
44,13.85,20.00,500.00,36.10
45,13.83,20.00,500.00,36.16
46,13.82,20.00,500.00,36.18
47,13.80,20.00,500.00,36.24
48,13.77,20.00,500.00,36.31
49,13.76,20.00,500.00,36.33
50,13.74,20.00,500.00,36.40
51,13.73,20.00,500.00,36.42
52,13.70,20.00,500.00,36.49
53,13.68,20.00,500.00,36.56
54,13.66,20.00,500.00,36.60
55,13.63,20.00,500.00,36.68
56,13.60,20.00,500.00,36.76
57,13.63,20.00,500.00,36.67
58,13.74,20.00,500.00,36.38
59,13.87,20.00,500.00,36.05
60,13.96,20.00,500.00,35.82
61,14.07,20.00,500.00,35.53
62,14.17,20.00,500.00,35.28
63,14.25,20.00,500.00,35.08
64,14.33,20.00,500.00,34.90
