Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.38,20.00,500.00,78.39
2,6.28,20.00,500.00,79.66
3,6.24,20.00,500.00,80.13
4,6.24,20.00,500.00,80.18
5,6.24,20.00,500.00,80.13
6,6.21,20.00,500.00,80.46
7,6.24,20.00,500.00,80.14
8,6.18,20.00,500.00,80.97
9,6.16,20.00,500.00,81.18
10,6.24,20.00,500.00,80.19
11,6.24,20.00,500.00,80.18
12,6.23,20.00,500.00,80.21
13,6.25,20.00,500.00,80.00
14,6.24,20.00,500.00,80.10
15,6.23,20.00,500.00,80.22
16,6.21,20.00,500.00,80.58
