Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.37,45.00,500.00,37.40
2,13.38,45.00,500.00,37.37
3,13.42,45.00,500.00,37.24
4,13.50,45.00,500.00,37.05
5,13.54,45.00,500.00,36.92
6,13.59,45.00,500.00,36.80
7,13.63,45.00,500.00,36.67
8,13.68,45.00,500.00,36.56
9,13.75,45.00,500.00,36.37
10,13.74,45.00,500.00,36.40
11,13.75,45.00,500.00,36.35
12,13.77,45.00,500.00,36.31
13,13.78,45.00,500.00,36.28
14,13.80,45.00,500.00,36.23
15,13.81,45.00,500.00,36.19
16,13.83,45.00,500.00,36.15
17,13.87,45.00,500.00,36.05
18,13.84,45.00,500.00,36.14
19,13.85,45.00,500.00,36.10
20,13.86,45.00,500.00,36.07
21,13.88,45.00,500.00,36.03
22,13.87,45.00,500.00,36.06
23,13.88,45.00,500.00,36.03
24,13.86,45.00,500.00,36.07
25,13.87,45.00,500.00,36.05
26,13.86,45.00,500.00,36.08
27,14.07,45.00,500.00,35.55
28,14.05,45.00,500.00,35.59
29,14.06,45.00,500.00,35.56
30,14.04,45.00,500.00,35.60
31,14.03,45.00,500.00,35.64
32,14.03,45.00,500.00,35.63
33,14.02,45.00,500.00,35.67
34,14.00,45.00,500.00,35.71
35,14.01,45.00,500.00,35.70
36,13.99,45.00,500.00,35.75
37,13.97,45.00,500.00,35.79
38,13.97,45.00,500.00,35.79
39,13.95,45.00,500.00,35.84
40,13.93,45.00,500.00,35.89
41,13.91,45.00,500.00,35.94
42,13.91,45.00,500.00,35.94
43,13.89,45.00,500.00,36.00
44,13.86,45.00,500.00,36.06
45,13.84,45.00,500.00,36.12
46,13.82,45.00,500.00,36.18
47,13.80,45.00,500.00,36.24
48,13.77,45.00,500.00,36.30
49,13.75,45.00,500.00,36.37
50,13.72,45.00,500.00,36.44
51,13.69,45.00,500.00,36.51
52,13.67,45.00,500.00,36.58
53,13.64,45.00,500.00,36.65
54,13.61,45.00,500.00,36.73
55,13.59,45.00,500.00,36.80
56,13.56,45.00,500.00,36.87
57,13.56,45.00,500.00,36.86
58,13.68,45.00,500.00,36.56
59,13.78,45.00,500.00,36.28
60,13.92,45.00,500.00,35.93
61,14.03,45.00,500.00,35.63
62,14.12,45.00,500.00,35.41
63,14.21,45.00,500.00,35.18
64,14.29,45.00,500.00,34.99
