Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,6.36,45.00,500.00,78.67
2,6.23,45.00,500.00,80.25
3,6.21,45.00,500.00,80.46
4,6.22,45.00,500.00,80.36
5,6.22,45.00,500.00,80.37
6,6.22,45.00,500.00,80.32
7,6.21,45.00,500.00,80.48
8,6.34,45.00,500.00,78.84
9,6.18,45.00,500.00,80.96
10,6.15,45.00,500.00,81.24
11,6.23,45.00,500.00,80.29
12,6.17,45.00,500.00,81.03
13,6.15,45.00,500.00,81.26
14,5.62,45.00,500.00,89.03
15,5.62,45.00,500.00,89.04
16,5.61,45.00,500.00,89.06
