Request Number,Total Time Taken,Prompt Tokens,Tokens Generated,Tokens per Second
1,13.17,20.00,500.00,37.97
2,13.15,20.00,500.00,38.02
3,13.15,20.00,500.00,38.02
4,13.15,20.00,500.00,38.04
5,13.15,20.00,500.00,38.02
6,13.15,20.00,500.00,38.02
7,13.15,20.00,500.00,38.03
8,13.15,20.00,500.00,38.02
9,13.15,20.00,500.00,38.03
10,13.15,20.00,500.00,38.04
11,13.15,20.00,500.00,38.03
12,13.14,20.00,500.00,38.04
13,13.15,20.00,500.00,38.03
14,13.14,20.00,500.00,38.04
15,13.14,20.00,500.00,38.05
16,13.14,20.00,500.00,38.05
